,Name,Address,Ratings,Website,Telephone,YearsInBusiness
224,Ulr Properties-Dallas,"3102 Swiss AveDallas, TX 75204",,https://urbanleasing.com,(214) 233-6158,
225,Aflalo Equites,"2930 Commerce StDallas, TX 75226",,,(469) 802-9364,
226,Post Properties,"2427 Allen StDallas, TX 75204",,,(214) 303-0599,
227,PM Realty Group,"2800 Routh StDallas, TX 75201",,http://www.pmrg.com,(469) 249-6770,
228,P mRG,"2800 Routh StDallas, TX 75201",,,(214) 953-3157,
229,Ebby Halliday Realtors,"2828 Routh StDallas, TX 75201",,http://www.daveperrymiller.com/agents_offices/find_agent/team/martingroup,(214) 303-1133,15YEARSIN BUSINESS
230,Hewitt & Habgood,"2828 Routh St Ste 100Dallas, TX 75201",,http://www.hewitthabgood.com,(214) 752-7070,12YEARSIN BUSINESS
231,PM Realty Group LP,"2828 Routh St Ste 700Dallas, TX 75201",,http://pmrg.com,(972) 421-3300,
232,Post Properties,"2808 Mckinney AveDallas, TX 75204",,,(214) 999-1036,
233,Residences Properties,"2808 Mckinney AveDallas, TX 75204",,,(214) 954-4364,
234,Cobb Properties,"2821 Mckinney Ave Ste 10Dallas, TX 75204",,,(214) 871-2622,35YEARSIN BUSINESS
235,Pollock Realty Lp,"2626 Howell StDallas, TX 75204",,,(214) 871-8155,27YEARSIN BUSINESS
236,Phoenix Property Company of Texas,"2626 Howell StDallas, TX 75204",,http://www.phoenixpropertyco.com,(214) 880-0350,27YEARSIN BUSINESS
237,Uptown Realtors Property Management,"3000 Maple AveDallas, TX 75201",,http://jeffupdike.com,(214) 979-0120,
238,Kelly-Campbell Group,"1719 S Ervay StDallas, TX 75215",,http://www.kellycampbellgroup.com,(972) 591-1552,9YEARSIN BUSINESS
239,Manchester State Thomas,"2406 Ellis StDallas, TX 75204",,http://www.manchesterstatethomas.com,(214) 954-0193,
240,The Real Estate Council Community Fund,"3100 Mckinnon StDallas, TX 75201",,https://www.recouncil.com,(214) 692-3630,32YEARSIN BUSINESS
241,Pizel & Associates Commercial Real Estate,"1217 Urban Lofts DrDallas, TX 75215",,http://www.pizel.com,(972) 373-4460,
242,Rumsey Hunt Partners,"3025 Commerce StDallas, TX 75226",,https://championins.com,(214) 217-8399,
243,Kimco Realty,"3102 Maple AveDallas, TX 75201",,http://www.kimcorealty.com,(214) 720-0559,22YEARSIN BUSINESS
244,New Western Acquisitions,"3102 Maple Ave Ste 450Dallas, TX 75201",,,(972) 643-9300,30YEARSIN BUSINESS
245,George Reeves Management,"1818 S Ervay StDallas, TX 75215",,,(214) 421-0783,
246,8325 Properties,"2626 Cole Ave Ste 650Dallas, TX 75204",,http://www.efplc.com,(214) 706-6955,30YEARSIN BUSINESS
247,Centrefirst Realty,"2626 Cole Ave Ste 650Dallas, TX 75204",,http://www.wellingtonrealty.com,(214) 445-6021,
248,Wellington Realty,"2626 Cole Ave Ste 800Dallas, TX 75204",,http://www.wellingtonrealty.com,(214) 855-5900,17YEARSIN BUSINESS
249,R.O. Strong Realty Group,"2626 Cole Ave Ste 300Dallas, TX 75204",,http://www.rostronghomes.com,(800) 469-7819,
250,Crow Finance & Realty,"2626 Cole Ave Ste 650Dallas, TX 75204",,,(214) 445-6024,
251,Terra Networks,"2626 Cole AveDallas, TX 75204",,,(214) 665-9494,16YEARSIN BUSINESS
252,William J Hersey,"1409 S Lamar StDallas, TX 75215",,,(469) 291-7181,
253,Accent Properties,"3105 Maple AveDallas, TX 75201",,,(214) 293-5133,
254,Hines Interest,"3100 McKinnon StDallas, TX 75201",,http://www.hines.com,(214) 754-8041,17YEARSIN BUSINESS
255,Healthcare Realty Trust,"3600 Gaston AveDallas, TX 75246",,,(214) 370-9722,
256,Dillon Realty Interests,"110 Howell StDallas, TX 75207",,http://dillonrealtyinterests.com,(214) 672-6000,
257,Physicians Realty LP,"3410 Worth StDallas, TX 75246",,,(214) 370-8071,
258,Trips Real Estate,"1105 E Levee StDallas, TX 75207",,,(214) 484-7564,
259,Post Properties,"2800 Cole AveDallas, TX 75204",,,(214) 855-0675,
260,Adler Properties,"2711 Cedar Springs RdDallas, TX 75201",,,(214) 739-0909,
261,Gatehouse Capital Corp,"1501 Dragon St Ste 101Dallas, TX 75207",,http://www.gatehousecapital.com,(214) 922-4300,25YEARSIN BUSINESS
262,Ewing Properties,"110 Leslie StDallas, TX 75207",,http://ewingpropertiestexas.com,(214) 741-1773,
263,Ewing Ed,"110 Leslie StDallas, TX 75207",,,(214) 484-2167,
264,Michael Kelly Realtor,"3030 Mckinney AveDallas, TX 75204",,,(214) 871-1110,12YEARSIN BUSINESS
265,Accent Commercial Real Estate,"2929 Carlisle StDallas, TX 75204",,http://www.accentcre.com,(214) 987-3600,8YEARSIN BUSINESS
266,Tres Bien Realty Advisors,"3131 Mckinney Ave Ste 600Dallas, TX 75204",,http://www.tresbienrealty.com,(469) 240-1368,
267,Intown Dallas Real Estate,"3131 Mckinney Ave Ste 600Dallas, TX 75204",,http://www.intowndallasrealestate.com,(469) 453-0399,
268,Intown Properties,"3015 Cole AveDallas, TX 75204",,http://www.intowndallas.com,(214) 740-0135,7YEARSIN BUSINESS
269,Watermark Real Estate,"3100 Cole Ave Apt 116Dallas, TX 75204",,http://watermarkmgmt.com,(214) 528-2630,13YEARSIN BUSINESS
270,Gaedeke Group,"3232 Mckinney AveDallas, TX 75204",,http://www.gaedeke.com,(214) 953-0029,18YEARSIN BUSINESS
271,Level Properties,"3227 Mckinney AveDallas, TX 75204",,http://www.levelproperties.com,(214) 220-1115,11YEARSIN BUSINESS
272,Moss Enterprises Int'l,"3402 Oak Grove AveDallas, TX 75204",,,(214) 954-9965,
273,Blenheim Corp,"2911 Turtle Creek BlvdDallas, TX 75219",,http://stopnote.vhostgo.com?host=pptnet.com&refer=,(214) 361-9000,33YEARSIN BUSINESS
